City,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Bariloche,AR,1681416521,-41.1456,-71.3082,11,45,59.45,3.04
1,Kolosovka,RU,1681416660,56.4678,73.611,100,92,21.83,15.39
2,Gorgan,IR,1681416660,36.8387,54.4348,0,82,57.16,0.0
3,Kaitangata,NZ,1681416660,-46.2817,169.8464,74,84,52.77,12.28
4,Bluff,NZ,1681416661,-46.6,168.3333,11,80,52.81,17.87
5,Temuco,CL,1681416661,-38.7333,-72.6,9,37,71.37,2.98
6,Nantucket,US,1681416662,41.2835,-70.0995,0,59,71.74,17.27
7,Karasjok,NO,1681416663,69.4719,25.5112,10,93,22.05,9.06
8,Punta Arenas,CL,1681416663,-53.15,-70.9167,0,65,46.42,5.75
9,Mazagão,BR,1681416457,-0.115,-51.2894,97,67,84.25,5.55
10,Alofi,NU,1681416663,-19.0595,-169.9187,75,74,82.29,16.11
11,Iqaluit,CA,1681416664,63.7506,-68.5145,86,79,18.7,2.46
12,Los Llanos de Aridane,ES,1681416664,28.6585,-17.9182,75,88,64.15,16.11
13,Qaanaaq,GL,1681416664,77.484,-69.3632,5,83,10.15,1.77
14,Mataura,NZ,1681416665,-46.1927,168.8643,8,89,52.48,8.12
15,Kloulklubed,PW,1681416665,7.0419,134.2556,28,77,75.7,12.08
16,Mar del Plata,AR,1681416526,-38.0023,-57.5575,40,67,59.09,16.11
17,Longyearbyen,SJ,1681416666,78.2186,15.6401,75,69,33.64,4.61
18,Ushuaia,AR,1681416666,-54.8,-68.3,0,66,47.82,3.44
19,Lamar,US,1681416666,33.6668,-95.5836,40,45,77.65,6.91
20,Mutare,ZW,1681416666,-18.9707,32.6709,19,98,60.57,3.69
21,Busselton,AU,1681416667,-33.65,115.3333,67,70,53.82,21.12
22,Necochea,AR,1681416667,-38.5473,-58.7368,100,59,56.23,19.77
23,Puerto Ayora,EC,1681416668,-0.7393,-90.3518,96,86,89.56,8.01
24,Ribeira Grande,PT,1681416668,38.5167,-28.7,75,88,63.77,13.0
25,Mahébourg,MU,1681416668,-20.4081,57.7,20,88,77.25,5.75
26,Bengkulu,ID,1681416668,-3.8004,102.2655,64,89,75.78,3.76
27,Birjand,IR,1681416669,32.8663,59.2211,75,17,75.67,11.5
28,Albany,US,1681416410,42.6001,-73.9662,3,43,86.41,10.65
29,Vila Franca do Campo,PT,1681416670,37.7167,-25.4333,57,83,63.01,6.26
30,Quartucciu,IT,1681416670,39.2519,9.1794,0,59,55.99,10.36
31,Lima,PE,1681416108,-12.0432,-77.0282,0,61,80.85,13.8
32,Jacksonville,US,1681416551,30.3322,-81.6556,75,81,78.98,13.8
33,Arraial do Cabo,BR,1681416565,-22.9661,-42.0278,0,74,80.46,14.97
34,Port Elizabeth,ZA,1681416671,-33.918,25.5701,2,70,63.32,7.0
35,Río Gallegos,AR,1681416672,-51.6226,-69.2181,0,46,50.05,3.44
36,Allonnes,FR,1681416672,47.9674,0.1581,0,81,46.44,4.61
37,Borda da Mata,BR,1681416672,-22.2742,-46.1653,46,83,72.68,0.74
38,Barrow,US,1681416672,71.2906,-156.7887,0,77,-5.78,8.05
39,Matadi,CD,1681416673,-5.8167,13.45,19,83,77.22,1.68
40,Rikitea,PF,1681416673,-23.1203,-134.9692,100,91,71.92,9.57
41,Husavik,IS,1681416673,66.0449,-17.3389,93,90,36.64,5.08
42,Cabra,ES,1681416673,37.4725,-4.4421,100,30,56.53,4.92
43,Abrau-Dyurso,RU,1681416673,44.69,37.59,100,94,49.48,16.44
44,Nagykálló,HU,1681416674,47.8749,21.8408,94,77,53.38,8.43
45,Chokurdakh,RU,1681416674,70.6333,147.9167,100,95,-0.06,6.26
46,Ancud,CL,1681416674,-41.8697,-73.8203,5,57,59.85,2.68
47,Saskylakh,RU,1681416675,71.9167,114.0833,58,99,-15.84,5.99
48,Batagay-Alyta,RU,1681416675,67.8006,130.4114,99,91,-0.27,4.09
49,Hermanus,ZA,1681416675,-34.4187,19.2345,29,81,63.81,14.16
50,Norman Wells,CA,1681416675,65.282,-126.8329,100,88,21.85,6.51
51,Viedma,AR,1681416676,-40.8135,-62.9967,2,41,55.78,10.65
52,Airai,TL,1681416676,-8.9266,125.4092,37,93,60.26,2.35
53,Praia,CV,1681416676,14.9215,-23.5087,66,69,75.74,14.97
54,Bonthe,SL,1681416676,7.5264,-12.505,12,82,80.38,9.98
55,Sioux Lookout,CA,1681416677,50.1001,-91.917,100,72,44.15,8.37
56,Geraldton,AU,1681416678,-28.7667,114.6,75,52,64.81,24.16
57,Jamestown,US,1681416382,42.097,-79.2353,0,29,80.24,12.66
58,Guerrero Negro,MX,1681416679,27.9769,-114.0611,7,56,63.82,18.95
59,Atar,MR,1681416679,20.5169,-13.0499,66,34,89.69,1.57
60,Insar,RU,1681416679,53.8653,44.3738,100,64,46.83,25.93
61,Bayangol,RU,1681416679,50.6977,103.4656,8,92,6.42,2.8
62,Faanui,PF,1681416680,-16.4833,-151.75,22,71,81.79,8.63
63,San Matías,BO,1681416680,-16.3667,-58.4,72,62,87.62,4.65
64,George Town,MY,1681416666,5.4112,100.3354,20,79,84.13,0.0
65,Makakilo City,US,1681416680,21.3469,-158.0858,0,58,80.92,16.11
66,East London,ZA,1681416681,-33.0153,27.9116,78,68,65.3,11.5
67,Altamont,US,1681416681,42.2068,-121.7372,0,35,45.9,5.01
68,Ilhabela,BR,1681416682,-23.7781,-45.3581,1,82,77.27,3.33
69,Kununurra,AU,1681416683,-15.7667,128.7333,100,94,75.18,1.14
70,Aklavik,CA,1681416683,68.2191,-135.0107,100,89,0.18,10.51
71,Vila,PT,1681416684,42.0304,-8.1588,100,95,43.68,4.56
72,Port Alfred,ZA,1681416684,-33.5906,26.891,14,92,59.18,1.01
73,Tuktoyaktuk,CA,1681416685,69.4541,-133.0374,78,92,-5.55,7.02
74,Karratha,AU,1681416685,-20.7377,116.8463,100,43,83.37,23.2
75,Kavieng,PG,1681416685,-2.5744,150.7967,48,78,82.6,11.9
76,Sittwe,MM,1681416686,20.15,92.9,3,80,79.34,3.71
77,Butaritari,KI,1681416686,3.0707,172.7902,53,80,81.1,13.2
78,Vaini,TO,1681416687,-21.2,-175.2,20,74,82.56,8.05
79,Ipixuna,BR,1681416687,-1.7625,-48.8043,100,91,80.44,3.74
80,Rafrāf,TN,1681416688,37.1904,10.1837,100,69,57.51,28.43
81,Novosheshminsk,RU,1681416689,55.0651,51.2338,100,64,41.85,21.77
82,Banjar,ID,1681416689,-8.19,114.9675,100,91,78.01,5.28
83,Cherskiy,RU,1681416690,68.75,161.3,63,100,-10.39,4.36
84,Quatre Cocos,MU,1681416691,-20.2078,57.7625,0,82,77.09,1.79
85,Hobart,AU,1681416692,-42.8794,147.3294,75,94,54.27,5.75
86,Laredo,US,1681416487,27.5064,-99.5075,0,34,84.49,11.5
87,Belozërskoye,RU,1681416693,55.8214,65.5842,100,78,25.05,18.01
88,Chimoré,BO,1681416694,-16.9833,-65.1333,49,92,79.93,2.68
89,Bredasdorp,ZA,1681416694,-34.5322,20.0403,1,71,61.43,14.34
90,Stornoway,GB,1681416694,58.2093,-6.3865,40,86,44.56,4.61
91,Verkhnyaya Sinyachikha,RU,1681416695,57.976,61.6673,10,72,15.44,8.88
92,Moussoro,TD,1681416695,13.6408,16.4901,0,11,85.96,14.43
93,Nogliki,RU,1681416695,51.8333,143.1667,98,92,24.42,10.33
94,Cayenne,GF,1681416695,4.9333,-52.3333,75,94,77.04,8.05
95,Vostok,RU,1681416696,46.4856,135.8833,50,97,23.86,1.92
96,Miranda,CO,1681416696,3.2499,-76.2281,100,69,80.78,3.11
97,Kisangani,CD,1681416696,0.5167,25.2,100,97,72.09,3.58
98,Iquique,CL,1681416570,-20.2208,-70.1431,0,71,75.24,5.21
99,Chapais,CA,1681416697,49.7834,-74.8492,100,83,41.47,13.65
100,Inhambane,MZ,1681416697,-23.865,35.3833,0,80,72.73,9.46
101,Port Augusta,AU,1681416697,-32.5,137.7667,18,64,57.52,5.12
102,Upernavik,GL,1681416697,72.7868,-56.1549,100,88,18.64,5.21
103,Paraíso,CR,1681416697,9.8383,-83.8656,68,75,81.46,4.43
104,Bubaque,GW,1681416698,11.2833,-15.8333,16,78,76.86,14.58
105,Hong Kong,HK,1681416514,22.2855,114.1577,93,87,75.38,8.01
106,Yellowknife,CA,1681416445,62.456,-114.3525,100,79,24.57,8.01
107,Fare,PF,1681416698,-16.7,-151.0167,17,69,81.5,9.19
108,São Filipe,CV,1681416698,14.8961,-24.4956,65,79,73.85,5.95
109,Yerbogachën,RU,1681416698,61.2767,108.0108,100,84,21.06,11.92
110,Saint-Augustin,CA,1681416699,51.226,-58.6502,100,74,42.26,10.78
111,Westport,US,1681416699,41.1415,-73.3579,0,29,91.11,11.5
112,Avarua,CK,1681416416,-21.2078,-159.775,92,65,80.65,8.05
113,Vardø,NO,1681416699,70.3705,31.1107,0,69,28.38,23.02
114,Souillac,MU,1681416699,-20.5167,57.5167,20,88,75.58,5.75
115,Yambio,SS,1681416700,4.5721,28.3955,100,95,68.32,3.62
116,Yangi Marg`ilon,UZ,1681416700,40.4272,71.7189,0,82,57.92,4.61
117,Saint-Philippe,RE,1681416700,-21.3585,55.7679,66,83,76.59,1.83
118,Kapaa,US,1681416701,22.0752,-159.319,11,80,78.78,8.99
119,Petropavlovka,RU,1681416701,50.6114,105.3196,0,62,22.12,0.92
120,Umm Kaddadah,SD,1681416701,13.6017,26.6876,1,13,75.99,12.62
121,Areosa,PT,1681416701,41.7178,-8.8571,100,79,54.93,9.44
122,Coyhaique,CL,1681416701,-45.5752,-72.0662,0,33,61.41,8.05
123,Samfya,ZM,1681416702,-11.3649,29.5565,23,92,64.45,4.5
124,Djibouti,DJ,1681416702,11.5,42.5,98,74,77.34,16.53
125,Bintulu,MY,1681416702,3.1667,113.0333,66,87,77.5,1.23
126,Kilinochchi,LK,1681416702,9.3961,80.3982,1,89,76.12,5.66
127,New Norfolk,AU,1681416702,-42.7826,147.0587,74,90,53.92,1.21
128,Hithadhoo,MV,1681416703,-0.6,73.0833,57,70,83.16,6.85
129,Mackay,AU,1681416703,-21.15,149.2,0,48,62.69,11.86
130,Thompson,CA,1681416704,55.7435,-97.8558,100,100,35.49,3.31
131,Hamilton,US,1681416620,39.1834,-84.5333,0,26,82.99,4.61
132,Cabo San Lucas,MX,1681416310,22.8909,-109.9124,20,44,85.6,14.97
133,Hilo,US,1681416704,19.7297,-155.09,100,92,73.27,6.91
134,Laguna,US,1681416704,38.421,-121.4238,0,29,64.78,13.8
135,Cape Town,ZA,1681416600,-33.9258,18.4232,5,66,66.38,5.48
136,Matagami,CA,1681416705,49.7502,-77.6328,100,87,42.3,8.72
137,Cururupu,BR,1681416705,-1.8283,-44.8683,86,73,82.71,5.39
138,Bol,TD,1681416705,13.4586,14.7147,5,36,82.17,14.97
139,Ahipara,NZ,1681416705,-35.1667,173.1667,37,93,63.18,7.05
140,Kismayo,SO,1681416706,-0.3582,42.5454,74,74,82.22,10.11
141,Salalah,OM,1681416706,17.0151,54.0924,20,70,84.29,4.61
142,La Santisima Trinidad,BO,1681416706,-14.8333,-64.9,73,70,86.34,6.17
143,Blyth,GB,1681416707,55.1271,-1.5086,75,87,45.46,12.66
144,Bhadrāchalam,IN,1681416707,17.6667,80.8833,20,44,84.9,4.05
145,Fortuna,US,1681416452,40.5982,-124.1573,27,66,54.93,5.01
146,Ziyang,CN,1681416708,29.2497,117.8547,100,97,63.18,0.67
147,Whitehorse,CA,1681416708,60.7161,-135.0538,98,59,38.1,11.99
148,Dikson,RU,1681416708,73.5069,80.5464,96,100,-9.24,11.5
149,Waitati,NZ,1681416708,-45.75,170.5667,100,77,54.81,8.14
150,Kapoeta,SS,1681416709,4.7717,33.5903,75,61,78.08,4.43
151,Werder,DE,1681416709,52.3787,12.934,100,81,53.06,2.28
152,Outram,MY,1681416709,1.2829,103.8379,75,94,80.62,3.44
153,Bloemfontein,ZA,1681416710,-29.1211,26.214,100,41,60.28,4.61
